[00:00.000 --> 00:06.000]  I'm back.
[01:14:22.840 --> 01:14:24.580]  magtatanong pa rin tayo
[01:14:24.580 --> 01:14:25.440]  any
[01:14:25.440 --> 01:14:26.380]  questions
[01:14:26.380 --> 01:14:28.700]  questions
[01:14:28.700 --> 01:14:29.780]  questions
[01:14:29.780 --> 01:14:36.920]  ame el pep
[01:14:36.920 --> 01:14:37.280]  ba next
[01:14:37.280 --> 01:14:37.620]  week
[01:14:37.620 --> 01:14:41.280]  wait
[01:14:41.280 --> 01:14:42.000]  hmm
[01:14:42.000 --> 01:14:46.800]  that's a good
[01:14:46.800 --> 01:14:47.180]  question
[01:14:47.180 --> 01:14:49.500]  what the hell
[01:14:49.500 --> 01:14:49.780]  is
[01:14:49.780 --> 01:14:51.760]  hmm
[01:14:51.760 --> 01:14:54.000]  we'll see
[01:14:54.000 --> 01:14:55.220]  we'll see
[01:14:55.220 --> 01:14:56.680]  ah
[01:14:56.680 --> 01:15:02.620]  aha
[01:15:02.620 --> 01:15:03.580]  okay
[01:15:03.580 --> 01:15:05.300]  well
[01:15:05.300 --> 01:15:06.040]  thanks for
[01:15:06.040 --> 01:15:06.560]  letting me
[01:15:06.560 --> 01:15:08.260]  contemplate
[01:15:08.260 --> 01:15:08.720]  about that
[01:15:08.720 --> 01:15:09.220]  the question
[01:15:09.220 --> 01:15:09.640]  that was
[01:15:09.640 --> 01:15:10.620]  posted here
[01:15:10.620 --> 01:15:12.080]  is that
[01:15:12.080 --> 01:15:13.080]  apparently
[01:15:13.080 --> 01:15:13.760]  there is
[01:15:13.760 --> 01:15:14.680]  el pep
[01:15:14.680 --> 01:15:17.620]  talk of
[01:15:17.620 --> 01:15:18.660]  interfering
[01:15:18.660 --> 01:15:19.400]  with
[01:15:19.400 --> 01:15:19.740]  the
[01:15:19.740 --> 01:15:21.020]  schedules
[01:15:21.020 --> 01:15:26.040]  well
[01:15:26.040 --> 01:15:26.740]  the point
[01:15:26.740 --> 01:15:27.000]  here
[01:15:27.000 --> 01:15:27.440]  actually
[01:15:27.440 --> 01:15:27.820]  really
[01:15:27.820 --> 01:15:28.220]  is that
[01:15:28.220 --> 01:15:28.740]  the quiz
[01:15:28.740 --> 01:15:29.720]  that is
[01:15:29.720 --> 01:15:30.940]  desynchronized
[01:15:30.940 --> 01:15:31.480]  you know
[01:15:31.480 --> 01:15:32.480]  on a different
[01:15:32.480 --> 01:15:32.820]  day
[01:15:32.820 --> 01:15:33.600]  compared to
[01:15:33.600 --> 01:15:34.000]  the other
[01:15:34.000 --> 01:15:34.380]  class
[01:15:34.380 --> 01:15:35.560]  is really
[01:15:35.560 --> 01:15:36.060]  not
[01:15:36.060 --> 01:15:37.240]  ideal
[01:15:37.240 --> 01:15:38.660]  so
[01:15:38.660 --> 01:15:39.480]  I will
[01:15:39.480 --> 01:15:39.980]  try to
[01:15:39.980 --> 01:15:40.780]  figure out
[01:15:40.780 --> 01:15:42.020]  something
[01:15:42.020 --> 01:15:43.880]  the more
[01:15:43.880 --> 01:15:44.900]  ideal case
[01:15:44.900 --> 01:15:45.380]  would be
[01:15:45.380 --> 01:15:46.160]  to have it
[01:15:46.160 --> 01:15:46.640]  at a
[01:15:46.640 --> 01:15:47.000]  common
[01:15:47.000 --> 01:15:47.860]  time
[01:15:47.860 --> 01:15:49.120]  eh
[01:15:49.120 --> 01:15:49.380]  sino pa
[01:15:49.380 --> 01:15:49.560]  kasi
[01:15:49.560 --> 01:15:50.320]  naglagay
[01:15:50.320 --> 01:15:51.080]  na ginawang
[01:15:51.080 --> 01:15:52.140]  magkaibang
[01:15:52.140 --> 01:15:52.720]  araw
[01:15:52.720 --> 01:15:53.980]  yung
[01:15:53.980 --> 01:15:54.380]  si
[01:15:54.380 --> 01:15:55.080]  Tronto
[01:15:55.080 --> 01:15:56.120]  na section
[01:15:56.120 --> 01:15:57.960]  medyo
[01:15:57.960 --> 01:15:58.480]  eng-eng
[01:15:58.480 --> 01:15:58.780]  din
[01:15:58.780 --> 01:15:59.720]  alright
[01:15:59.720 --> 01:16:02.100]  I guess
[01:16:02.100 --> 01:16:02.440]  at that
[01:16:02.440 --> 01:16:02.700]  time
[01:16:02.700 --> 01:16:03.140]  it never
[01:16:03.140 --> 01:16:03.520]  occurred
[01:16:03.520 --> 01:16:03.920]  to the
[01:16:03.920 --> 01:16:04.420]  academic
[01:16:04.420 --> 01:16:05.020]  programmer
[01:16:05.020 --> 01:16:05.480]  and I
[01:16:05.480 --> 01:16:05.720]  didn't
[01:16:05.720 --> 01:16:06.080]  complain
[01:16:06.080 --> 01:16:06.400]  about
[01:16:06.400 --> 01:16:06.600]  it
[01:16:06.600 --> 01:16:06.980]  either
[01:16:06.980 --> 01:16:14.100]  it's
[01:16:14.100 --> 01:16:14.320]  even
[01:16:14.320 --> 01:16:14.740]  worse
[01:16:14.740 --> 01:16:15.220]  if you
[01:16:15.220 --> 01:16:15.560]  you know
[01:16:15.560 --> 01:16:16.180]  I was
[01:16:16.180 --> 01:16:16.360]  just
[01:16:16.360 --> 01:16:16.620]  thinking
[01:16:16.620 --> 01:16:16.940]  about
[01:16:16.940 --> 01:16:17.260]  lab
[01:16:17.260 --> 01:16:17.700]  class
[01:16:17.700 --> 01:16:18.080]  time
[01:16:18.080 --> 01:16:18.440]  but
[01:16:18.440 --> 01:16:19.120]  on the
[01:16:19.120 --> 01:16:19.300]  other
[01:16:19.300 --> 01:16:19.620]  hand
[01:16:19.620 --> 01:16:20.720]  that
[01:16:20.720 --> 01:16:20.940]  might
[01:16:20.940 --> 01:16:21.180]  make
[01:16:21.180 --> 01:16:21.320]  it
[01:16:21.320 --> 01:16:21.580]  even
[01:16:21.580 --> 01:16:22.100]  worse
[01:16:22.100 --> 01:16:22.760]  because
[01:16:22.760 --> 01:16:24.420]  that's
[01:16:24.420 --> 01:16:24.640]  now
[01:16:24.640 --> 01:16:24.920]  three
[01:16:24.920 --> 01:16:25.500]  sections
[01:16:25.500 --> 01:16:25.740]  that
[01:16:25.740 --> 01:16:25.900]  we'll
[01:16:25.900 --> 01:16:26.060]  have
[01:16:26.060 --> 01:16:26.200]  to
[01:16:26.200 --> 01:16:26.480]  deal
[01:16:26.480 --> 01:16:26.760]  with
[01:16:26.760 --> 01:16:27.080]  instead
[01:16:27.080 --> 01:16:27.320]  of
[01:16:27.320 --> 01:16:27.560]  just
[01:16:27.560 --> 01:16:27.920]  two
[01:16:27.920 --> 01:16:29.320]  okay
[01:16:29.320 --> 01:16:30.280]  eh
[01:16:30.280 --> 01:16:31.340]  sige
[01:16:31.340 --> 01:16:32.880]  I'll
[01:16:32.880 --> 01:16:33.100]  think
[01:16:33.100 --> 01:16:33.240]  of
[01:16:33.240 --> 01:16:33.620]  something
[01:16:33.620 --> 01:16:39.540]  wait
[01:16:39.540 --> 01:16:40.040]  okay
[01:16:40.040 --> 01:16:40.960]  quick
[01:16:40.960 --> 01:16:41.520]  question
[01:16:41.520 --> 01:16:43.000]  if
[01:16:43.000 --> 01:16:43.400]  that's
[01:16:43.400 --> 01:16:43.600]  the
[01:16:43.600 --> 01:16:44.020]  case
[01:16:44.020 --> 01:16:44.320]  a
[01:16:44.320 --> 01:16:44.680]  quick
[01:16:44.680 --> 01:16:45.760]  survey
[01:16:45.760 --> 01:16:46.320]  of
[01:16:46.320 --> 01:16:48.920]  if
[01:16:48.920 --> 01:16:49.420]  it
[01:16:49.420 --> 01:16:49.800]  were
[01:16:49.800 --> 01:16:50.440]  although
[01:16:50.440 --> 01:16:50.740]  I
[01:16:50.740 --> 01:16:51.200]  suppose
[01:16:51.200 --> 01:16:51.460]  that
[01:16:51.460 --> 01:16:51.600]  you
[01:16:51.600 --> 01:16:51.920]  have
[01:16:51.920 --> 01:16:52.580]  your
[01:16:52.580 --> 01:16:53.000]  classes
[01:16:53.000 --> 01:16:53.300]  but
[01:16:53.300 --> 01:16:55.100]  if
[01:16:55.100 --> 01:16:55.380]  it
[01:16:55.380 --> 01:16:55.700]  were
[01:16:55.700 --> 01:16:56.820]  Friday
[01:16:56.820 --> 01:16:58.040]  morning
[01:16:58.040 --> 01:17:00.300]  7
[01:17:00.300 --> 01:17:00.900]  30
[01:17:00.900 --> 01:17:01.560]  AM
[01:17:01.560 --> 01:17:02.120]  what
[01:17:02.120 --> 01:17:02.780]  how
[01:17:02.780 --> 01:17:02.980]  many
[01:17:02.980 --> 01:17:03.200]  of
[01:17:03.200 --> 01:17:03.380]  you
[01:17:03.380 --> 01:17:03.860]  actually
[01:17:03.860 --> 01:17:04.300]  have
[01:17:04.300 --> 01:17:05.380]  classes
[01:17:05.380 --> 01:17:05.760]  at
[01:17:05.760 --> 01:17:06.180]  7
[01:17:06.180 --> 01:17:06.640]  30
[01:17:06.640 --> 01:17:07.200]  AM
[01:17:07.200 --> 01:17:07.420]  on
[01:17:07.420 --> 01:17:07.600]  a
[01:17:07.600 --> 01:17:08.100]  Friday
[01:17:08.100 --> 01:17:14.660]  okay
[01:17:14.660 --> 01:17:19.400]  all
[01:17:19.400 --> 01:17:19.600]  right
[01:17:19.600 --> 01:17:20.160]  so
[01:17:20.160 --> 01:17:20.640]  what
[01:17:20.640 --> 01:17:21.640]  out
[01:17:21.640 --> 01:17:21.760]  of
[01:17:21.760 --> 01:17:22.320]  curiosity
[01:17:22.320 --> 01:17:22.620]  what
[01:17:22.620 --> 01:17:23.020]  subject
[01:17:23.020 --> 01:17:23.280]  is
[01:17:23.280 --> 01:17:23.660]  that
[01:17:23.660 --> 01:17:26.320]  mukhang
[01:17:26.320 --> 01:17:26.720]  common
[01:17:26.720 --> 01:17:27.500]  sa lahat
[01:17:27.500 --> 01:17:29.560]  ah
[01:17:29.560 --> 01:17:29.700]  hindi
[01:17:29.700 --> 01:17:30.080]  not
[01:17:30.080 --> 01:17:30.500]  counting
[01:17:30.500 --> 01:17:30.700]  you
[01:17:30.700 --> 01:17:31.540]  ha
[01:17:31.540 --> 01:17:32.060]  LBY
[01:17:32.060 --> 01:17:33.060]  TRN
[01:17:33.060 --> 01:17:34.360]  ah
[01:17:34.360 --> 01:17:34.480]  so
[01:17:34.480 --> 01:17:34.700]  walang
[01:17:34.700 --> 01:17:35.120]  problema
[01:17:35.120 --> 01:17:36.000]  all
[01:17:36.000 --> 01:17:36.220]  right
[01:17:36.220 --> 01:17:37.040]  lahat
[01:17:37.040 --> 01:17:37.200]  yan
[01:17:37.200 --> 01:17:37.540]  lab
[01:17:37.540 --> 01:17:37.800]  lang
[01:17:37.800 --> 01:17:38.200]  naman
[01:17:38.200 --> 01:17:38.720]  lab
[01:17:38.720 --> 01:17:39.600]  okay
[01:17:39.600 --> 01:17:40.560]  so
[01:17:40.560 --> 01:17:40.960]  that's
[01:17:40.960 --> 01:17:41.240]  the
[01:17:41.240 --> 01:17:41.420]  one
[01:17:41.420 --> 01:17:41.840]  that's
[01:17:41.840 --> 01:17:42.140]  ah
[01:17:42.140 --> 01:17:42.700]  LBY
[01:17:42.700 --> 01:17:43.200]  Arch
[01:17:43.200 --> 01:17:45.780]  most
[01:17:45.780 --> 01:17:48.020]  G
[01:17:48.020 --> 01:17:48.760]  ethics
[01:17:48.760 --> 01:17:50.040]  ano
[01:17:50.040 --> 01:17:50.160]  ba
[01:17:50.160 --> 01:17:50.360]  naman
[01:17:50.360 --> 01:17:50.560]  yan
[01:17:50.560 --> 01:17:50.680]  yung
[01:17:50.680 --> 01:17:50.840]  mga
[01:17:50.840 --> 01:17:52.040]  pinagkukuha
[01:17:52.040 --> 01:17:52.320]  ninyong
[01:17:52.320 --> 01:17:52.500]  mga
[01:17:52.500 --> 01:17:53.080]  subject
[01:17:53.080 --> 01:17:55.280]  LBY
[01:17:55.280 --> 01:17:55.800]  TRN
[01:17:55.800 --> 01:17:56.100]  is not
[01:17:56.100 --> 01:17:56.240]  a
[01:17:56.240 --> 01:17:56.580]  problem
[01:17:56.580 --> 01:17:56.920]  because
[01:17:56.920 --> 01:17:57.160]  that
[01:17:57.160 --> 01:17:57.340]  would
[01:17:57.340 --> 01:17:57.520]  mean
[01:17:57.520 --> 01:17:57.680]  that
[01:17:57.680 --> 01:17:57.860]  you're
[01:17:57.860 --> 01:17:58.260]  under
[01:17:58.260 --> 01:17:58.660]  Sir
[01:17:58.660 --> 01:17:58.920]  John
[01:17:58.920 --> 01:17:59.320]  Nats
[01:17:59.320 --> 01:18:00.220]  and
[01:18:00.220 --> 01:18:01.860]  it's
[01:18:01.860 --> 01:18:01.960]  a
[01:18:01.960 --> 01:18:02.380]  unified
[01:18:02.380 --> 01:18:03.320]  approach
[01:18:03.320 --> 01:18:03.480]  that
[01:18:03.480 --> 01:18:03.620]  they're
[01:18:03.620 --> 01:18:04.000]  doing
[01:18:04.000 --> 01:18:04.360]  so
[01:18:04.360 --> 01:18:04.720]  it's
[01:18:04.720 --> 01:18:04.940]  pretty
[01:18:04.940 --> 01:18:05.360]  easy
[01:18:05.360 --> 01:18:05.800]  to
[01:18:05.800 --> 01:18:06.800]  shift
[01:18:06.800 --> 01:18:07.100]  that
[01:18:07.100 --> 01:18:07.560]  around
[01:18:07.560 --> 01:18:07.960]  but
[01:18:07.960 --> 01:18:08.800]  yeah
[01:18:08.800 --> 01:18:09.200]  given
[01:18:09.200 --> 01:18:09.500]  that
[01:18:09.500 --> 01:18:09.840]  some
[01:18:09.840 --> 01:18:10.000]  of
[01:18:10.000 --> 01:18:10.160]  you
[01:18:10.160 --> 01:18:10.580]  have
[01:18:10.580 --> 01:18:11.080]  other
[01:18:11.080 --> 01:18:11.660]  subjects
[01:18:11.660 --> 01:18:11.920]  at
[01:18:11.920 --> 01:18:12.120]  that
[01:18:12.120 --> 01:18:12.460]  time
[01:18:12.460 --> 01:18:17.060]  if
[01:18:17.060 --> 01:18:18.060]  we
[01:18:18.060 --> 01:18:18.720]  can't
[01:18:18.720 --> 01:18:19.300]  synchronize
[01:18:19.300 --> 01:18:19.440]  on
[01:18:19.440 --> 01:18:19.800]  anything
[01:18:19.800 --> 01:18:20.080]  we
[01:18:20.080 --> 01:18:20.380]  might
[01:18:20.380 --> 01:18:20.640]  be
[01:18:20.640 --> 01:18:20.960]  forced
[01:18:20.960 --> 01:18:21.200]  to
[01:18:21.200 --> 01:18:21.400]  put
[01:18:21.400 --> 01:18:21.600]  it
[01:18:21.600 --> 01:18:21.900]  on
[01:18:21.900 --> 01:18:22.260]  you
[01:18:22.260 --> 01:18:22.420]  know
[01:18:22.420 --> 01:18:24.040]  something
[01:18:24.040 --> 01:18:24.340]  like
[01:18:24.340 --> 01:18:24.620]  a
[01:18:24.620 --> 01:18:25.780]  like
[01:18:25.780 --> 01:18:25.940]  a
[01:18:25.940 --> 01:18:26.220]  Saturday
[01:18:26.220 --> 01:18:26.700]  morning
[01:18:26.700 --> 01:18:27.020]  which
[01:18:27.020 --> 01:18:27.260]  would
[01:18:27.260 --> 01:18:27.540]  not
[01:18:27.540 --> 01:18:27.800]  be
[01:18:27.800 --> 01:18:28.400]  ideal
[01:18:28.400 --> 01:18:32.280]  or
[01:18:32.280 --> 01:18:32.620]  of
[01:18:32.620 --> 01:18:32.900]  course
[01:18:32.900 --> 01:18:33.540]  there's
[01:18:33.540 --> 01:18:33.720]  always
[01:18:33.720 --> 01:18:33.900]  the
[01:18:33.900 --> 01:18:34.200]  option
[01:18:34.200 --> 01:18:34.660]  of
[01:18:34.660 --> 01:18:35.740]  Wednesday
[01:18:35.740 --> 01:18:37.200]  morning
[01:18:37.200 --> 01:18:37.480]  or
[01:18:37.480 --> 01:18:37.880]  something
[01:18:37.880 --> 01:18:38.540]  like that
[01:18:38.540 --> 01:18:39.820]  okay
[01:18:39.820 --> 01:18:40.200]  so
[01:18:40.200 --> 01:18:40.920]  quick
[01:18:40.920 --> 01:18:41.400]  survey
[01:18:41.400 --> 01:18:41.680]  then
[01:18:41.680 --> 01:18:41.900]  what
[01:18:41.900 --> 01:18:42.200]  about
[01:18:42.200 --> 01:18:43.060]  Wednesday
[01:18:43.060 --> 01:18:43.820]  mornings
[01:18:43.820 --> 01:18:44.160]  although
[01:18:44.160 --> 01:18:45.000]  I have
[01:18:45.000 --> 01:18:45.600]  meetings
[01:18:45.600 --> 01:18:46.220]  typically
[01:18:46.220 --> 01:18:46.540]  on
[01:18:46.540 --> 01:18:47.880]  Wednesdays
[01:18:47.880 --> 01:18:49.520]  Wednesday
[01:18:49.520 --> 01:18:50.320]  Wednesday
[01:18:50.320 --> 01:18:50.980]  dapat free
[01:18:50.980 --> 01:18:51.320]  kayo
[01:18:51.320 --> 01:18:52.500]  PE
[01:18:52.500 --> 01:18:56.580]  alright
[01:18:56.580 --> 01:18:57.540]  Wednesday
[01:18:57.540 --> 01:18:57.880]  ano
[01:18:57.880 --> 01:18:58.500]  aras yung
[01:18:58.500 --> 01:18:58.860]  PE
[01:18:58.860 --> 01:18:59.120]  mo
[01:18:59.120 --> 01:18:59.540]  Miss
[01:18:59.540 --> 01:19:00.060]  Shirley
[01:19:00.060 --> 01:19:01.660]  Shirley
[01:19:01.660 --> 01:19:03.140]  8
[01:19:03.140 --> 01:19:03.280]  to
[01:19:03.280 --> 01:19:03.720]  10
[01:19:03.720 --> 01:19:05.200]  right
[01:19:05.200 --> 01:19:07.140]  in
[01:19:07.140 --> 01:19:07.260]  the
[01:19:07.260 --> 01:19:07.540]  middle
[01:19:07.540 --> 01:19:07.820]  of
[01:19:07.820 --> 01:19:08.300]  the
[01:19:08.300 --> 01:19:09.700]  that
[01:19:09.700 --> 01:19:09.980]  is
[01:19:09.980 --> 01:19:10.420]  terrible
[01:19:10.420 --> 01:19:12.160]  okay
[01:19:12.160 --> 01:19:18.960]  which
[01:19:18.960 --> 01:19:19.140]  is
[01:19:19.140 --> 01:19:19.420]  you know
[01:19:19.420 --> 01:19:19.920]  actually
[01:19:19.920 --> 01:19:20.320]  come to
[01:19:20.320 --> 01:19:20.500]  think
[01:19:20.500 --> 01:19:20.760]  of it
[01:19:20.760 --> 01:19:21.040]  because
[01:19:21.040 --> 01:19:21.260]  the
[01:19:21.260 --> 01:19:22.740]  schedules
[01:19:22.740 --> 01:19:23.360]  are wildly
[01:19:23.360 --> 01:19:23.920]  different
[01:19:23.920 --> 01:19:24.360]  in the
[01:19:24.360 --> 01:19:24.600]  first
[01:19:24.600 --> 01:19:24.900]  days
[01:19:24.900 --> 01:19:25.100]  we
[01:19:25.100 --> 01:19:25.400]  might
[01:19:25.400 --> 01:19:25.680]  have
[01:19:25.680 --> 01:19:25.940]  to
[01:19:25.940 --> 01:19:26.000]  do
[01:19:26.000 --> 01:19:26.260]  that
[01:19:26.260 --> 01:19:27.080]  really
[01:19:27.080 --> 01:19:28.680]  in
[01:19:28.680 --> 01:19:28.840]  the
[01:19:28.840 --> 01:19:29.240]  interest
[01:19:29.240 --> 01:19:29.680]  of
[01:19:29.680 --> 01:19:30.780]  keeping
[01:19:30.780 --> 01:19:31.340]  the
[01:19:31.340 --> 01:19:32.260]  test
[01:19:32.260 --> 01:19:32.860]  time
[01:19:32.860 --> 01:19:34.360]  and
[01:19:34.360 --> 01:19:34.720]  day
[01:19:34.720 --> 01:19:35.180]  the
[01:19:35.180 --> 01:19:35.500]  same
[01:19:35.500 --> 01:19:35.880]  for
[01:19:35.880 --> 01:19:36.260]  all
[01:19:36.260 --> 01:19:36.840]  sections
[01:19:36.840 --> 01:19:38.620]  I guess
[01:19:38.620 --> 01:19:39.080]  we really
[01:19:39.080 --> 01:19:39.740]  have to
[01:19:39.740 --> 01:19:40.600]  put it
[01:19:40.600 --> 01:19:41.080]  onto
[01:19:41.080 --> 01:19:41.380]  a
[01:19:41.380 --> 01:19:41.900]  Saturday
[01:19:41.900 --> 01:19:42.240]  and
[01:19:42.240 --> 01:19:44.860]  well
[01:19:44.860 --> 01:19:45.580]  nobody
[01:19:45.580 --> 01:19:45.960]  should
[01:19:45.960 --> 01:19:46.320]  have
[01:19:46.320 --> 01:19:46.820]  a valid
[01:19:46.820 --> 01:19:47.420]  excuse
[01:19:47.420 --> 01:19:48.060]  of not
[01:19:48.060 --> 01:19:48.580]  being able
[01:19:48.580 --> 01:19:49.000]  to come
[01:19:49.000 --> 01:19:49.380]  in on
[01:19:49.380 --> 01:19:50.020]  a Saturday
[01:19:50.020 --> 01:19:51.240]  alright
[01:19:51.240 --> 01:19:53.140]  baka
[01:19:53.140 --> 01:19:53.400]  ganyan
[01:19:53.400 --> 01:19:53.520]  ang
[01:19:53.520 --> 01:19:53.960]  mangyari
[01:19:53.960 --> 01:19:55.700]  alright
[01:19:55.700 --> 01:19:57.000]  90%
[01:19:57.000 --> 01:19:58.140]  probability
[01:19:58.140 --> 01:19:59.360]  okie
[01:19:59.360 --> 01:19:59.840]  dokes
[01:19:59.840 --> 01:20:02.440]  alright
[01:20:02.440 --> 01:20:03.580]  sige
[01:20:03.580 --> 01:20:04.200]  violent
[01:20:04.200 --> 01:20:05.180]  reactions
[01:20:05.180 --> 01:20:08.020]  alright
[01:20:08.020 --> 01:20:09.320]  Marion
[01:20:09.320 --> 01:20:09.700]  kanina
[01:20:09.700 --> 01:20:09.860]  pa
[01:20:09.860 --> 01:20:10.060]  naka
[01:20:10.060 --> 01:20:10.340]  up
[01:20:10.340 --> 01:20:10.520]  yung
[01:20:10.520 --> 01:20:10.820]  hand
[01:20:10.820 --> 01:20:11.100]  mo
[01:20:11.100 --> 01:20:16.560]  alright
[01:20:16.560 --> 01:20:17.040]  so
[01:20:17.040 --> 01:20:17.300]  no
[01:20:17.300 --> 01:20:17.860]  conflict
[01:20:17.860 --> 01:20:18.080]  no
[01:20:18.080 --> 01:20:19.300]  valid
[01:20:19.300 --> 01:20:19.860]  excuses
[01:20:19.860 --> 01:20:20.300]  for
[01:20:20.300 --> 01:20:20.660]  a
[01:20:20.660 --> 01:20:21.240]  Saturday
[01:20:21.240 --> 01:20:21.880]  schedule
[01:20:21.880 --> 01:20:22.200]  because
[01:20:22.200 --> 01:20:22.320]  it
[01:20:22.320 --> 01:20:22.580]  doesn't
[01:20:22.580 --> 01:20:22.800]  look
[01:20:22.800 --> 01:20:23.000]  like
[01:20:23.000 --> 01:20:23.180]  we
[01:20:23.180 --> 01:20:23.320]  have
[01:20:23.320 --> 01:20:23.560]  any
[01:20:23.560 --> 01:20:23.780]  other
[01:20:23.780 --> 01:20:24.440]  option
[01:20:24.440 --> 01:20:28.640]  rather
[01:20:28.640 --> 01:20:29.000]  than
[01:20:29.000 --> 01:20:30.240]  that
[01:20:30.240 --> 01:20:30.560]  ok
[01:20:30.560 --> 01:20:31.480]  sige
[01:20:31.480 --> 01:20:33.280]  I guess
[01:20:33.280 --> 01:20:33.660]  that
[01:20:33.660 --> 01:20:34.880]  sort
[01:20:34.880 --> 01:20:35.280]  of
[01:20:35.280 --> 01:20:36.060]  half
[01:20:36.060 --> 01:20:36.540]  settles
[01:20:36.540 --> 01:20:36.760]  it
[01:20:36.760 --> 01:20:37.000]  I'll
[01:20:37.000 --> 01:20:37.580]  confirm
[01:20:37.580 --> 01:20:38.040]  with
[01:20:38.040 --> 01:20:38.780]  the
[01:20:38.780 --> 01:20:39.140]  Tuesday
[01:20:39.140 --> 01:20:39.820]  class
[01:20:39.820 --> 01:20:40.920]  alright
[01:20:40.920 --> 01:20:42.040]  but
[01:20:42.040 --> 01:20:42.720]  keep
[01:20:42.720 --> 01:20:42.940]  it
[01:20:42.940 --> 01:20:44.400]  in mind
[01:20:44.400 --> 01:20:45.160]  for now
[01:20:45.160 --> 01:20:51.000]  27
[01:20:51.000 --> 01:20:51.380]  27
[01:20:51.380 --> 01:20:52.520]  ayaw
[01:20:52.520 --> 01:20:52.620]  mo
[01:20:52.620 --> 01:20:53.300]  ayaw
[01:20:53.300 --> 01:20:53.400]  nyo
[01:20:53.400 --> 01:20:53.560]  ba
[01:20:53.560 --> 01:20:53.680]  sa
[01:20:53.680 --> 01:20:54.140]  20
[01:20:54.140 --> 01:20:54.360]  na
[01:20:54.360 --> 01:20:54.840]  pwede
[01:20:54.840 --> 01:20:55.000]  na
[01:20:55.000 --> 01:20:55.100]  sa
[01:20:55.100 --> 01:20:55.580]  20
[01:20:55.580 --> 01:20:57.740]  not
[01:20:57.740 --> 01:20:58.080]  yet
[01:20:58.080 --> 01:20:58.540]  alright
[01:20:58.540 --> 01:20:59.200]  27
[01:20:59.200 --> 01:21:00.240]  alright
[01:21:00.240 --> 01:21:01.460]  alright
[01:21:01.460 --> 01:21:07.800]  in
[01:21:07.800 --> 01:21:07.800] 
[01:21:07.800 --> 01:21:07.920]  the
[01:21:07.920 --> 01:21:08.220]  meantime
[01:21:08.220 --> 01:21:08.780]  of
[01:21:08.780 --> 01:21:09.120]  course
[01:21:09.120 --> 01:21:10.080]  because
[01:21:10.080 --> 01:21:10.440]  that's
[01:21:10.440 --> 01:21:10.680]  a
[01:21:10.680 --> 01:21:10.980]  long
[01:21:10.980 --> 01:21:11.260]  way
[01:21:11.260 --> 01:21:11.620]  off
[01:21:11.620 --> 01:21:12.240]  we
[01:21:12.240 --> 01:21:12.480]  will
[01:21:12.480 --> 01:21:12.800]  still
[01:21:12.800 --> 01:21:13.300]  continue
[01:21:13.300 --> 01:21:13.560]  with
[01:21:13.560 --> 01:21:13.700]  the
[01:21:13.700 --> 01:21:14.100]  lessons
[01:21:14.100 --> 01:21:14.560]  alright
[01:21:14.560 --> 01:21:15.420]  we
[01:21:15.420 --> 01:21:15.640]  will
[01:21:15.640 --> 01:21:16.040]  forge
[01:21:16.040 --> 01:21:16.460]  ahead
[01:21:16.460 --> 01:21:16.980]  with
[01:21:16.980 --> 01:21:18.480]  AC
[01:21:18.480 --> 01:21:19.040]  analysis
[01:21:19.040 --> 01:21:19.760]  of
[01:21:19.760 --> 01:21:20.720]  bipolar
[01:21:20.720 --> 01:21:21.080]  junction
[01:21:21.080 --> 01:21:21.620]  transistor
[01:21:21.620 --> 01:21:22.480]  okay
[01:21:22.480 --> 01:21:23.060]  so
[01:21:23.060 --> 01:21:23.300]  don't
[01:21:23.300 --> 01:21:23.720]  expect
[01:21:23.720 --> 01:21:23.940]  that
[01:21:23.940 --> 01:21:24.060]  the
[01:21:24.060 --> 01:21:24.380]  lessons
[01:21:24.380 --> 01:21:24.620]  will
[01:21:24.620 --> 01:21:24.980]  stop
[01:21:24.980 --> 01:21:25.960]  we
[01:21:25.960 --> 01:21:26.180]  will
[01:21:26.180 --> 01:21:26.600]  forge
[01:21:26.600 --> 01:21:27.000]  ahead
[01:21:27.000 --> 01:21:27.720]  we'll
[01:21:27.720 --> 01:21:27.960]  have
[01:21:27.960 --> 01:21:29.940]  you
[01:21:29.940 --> 01:21:30.120]  know
[01:21:30.120 --> 01:21:30.620]  we'll
[01:21:30.620 --> 01:21:30.860]  have
[01:21:30.860 --> 01:21:31.280]  a few
[01:21:31.280 --> 01:21:31.920]  exercises
[01:21:31.920 --> 01:21:32.520]  again
[01:21:32.520 --> 01:21:33.600]  further
[01:21:33.600 --> 01:21:34.080]  on
[01:21:34.080 --> 01:21:34.840]  plus
[01:21:34.840 --> 01:21:35.840]  switching
[01:21:35.840 --> 01:21:36.740]  and
[01:21:36.740 --> 01:21:37.120]  then
[01:21:37.120 --> 01:21:38.160]  move
[01:21:38.160 --> 01:21:38.380]  to
[01:21:38.380 --> 01:21:38.820]  AC
[01:21:38.820 --> 01:21:39.400]  analysis
[01:21:39.400 --> 01:21:40.060]  where
[01:21:40.060 --> 01:21:40.240]  we
[01:21:40.240 --> 01:21:40.480]  look
[01:21:40.480 --> 01:21:40.680]  at
[01:21:40.680 --> 01:21:40.860]  the
[01:21:40.860 --> 01:21:41.200]  actual
[01:21:41.200 --> 01:21:41.980]  amplification
